Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Togo,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             70.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,Mali,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             36.64,,,,,,,,,,             26.51,             43.53,             32.71,,,,,,,,,,,,,,,
Togo,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,             99.60,,,,,,,,,,,,,,,
Togo,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,             84.39,            147.96,,,,             69.49,             87.05,             87.38,,,,             68.27,,,             20.78,,             43.73,             46.86,             37.43,             29.64,             11.46,,,,,,
Togo,Niger,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             65.39,            106.09,            107.68,             88.71,             89.47,             37.08,,             49.26,             35.59,,,,,             11.58,              9.76,,,,,,,,,,,,,
Togo,Nigeria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            106.42,             92.97,             79.19,,             58.60,             77.56,,,,,,,,,,,,,,,,,,,,
Togo,Nigeria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,             38.57,             60.25,             50.93,,,,,,,
Togo,Norway,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,            141.59,,,,,,,,,,,,,,,,,,,,,,,
Togo,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,             15.79,,,             20.41,             49.33,             21.85,             34.70,             26.58,             21.66,,,,,,
Togo,Philippines,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,             13.80,             12.04,,             38.31,,,,              8.75,,,,,,
Togo,Poland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            108.55,,,,,,,,,,,,,,,,,,,,,,,,
Togo,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,             45.61,,,,,,,,             10.83,,,,,,,,,,,,
Togo,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             85.10,,,,,,,,,,,,,,,,             28.72,,,,,,,,,,,
Togo,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             66.65,             82.95,,,,,,,,,             25.00,,,,,,,             29.21,             29.43,,,,,,,,,
Togo,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,             22.48,,             29.41,             31.72,             42.74,,,,,,,
Togo,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,             61.48,,             52.70,,,,,,,,,,,,,,,,,,,,
Togo,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            101.41,            134.20,,,,,             33.35,,,,,,,,,,,,,             12.14,,,,,,
Togo,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,             55.10,,,,,,,,,,,,             62.87,,,,,,,
Togo,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,             46.67,,,,,,,,,,,
Togo,World,All Products,Tariff,Duty Free Imports (US$ Thousand),          35889.87,         183736.22,         183736.22,         139579.14,         105303.78,         122607.78,          93100.55,          59765.21,          59765.22,,          32813.30,          27680.00,          23218.07,          18128.94,          16641.39,          11935.68,             31.30,,           1109.45,          24223.38,,,,,,,,
Togo,World,Animal,Export,Export(US$ Mil),             26.82,             32.11,             20.37,             16.94,             13.88,              7.28,              9.03,              8.23,              4.99,,              9.10,             16.98,             14.42,             16.05,              9.38,              4.69,              4.07,              7.51,              7.22,              6.94,              3.44,              1.12,,,,,,
Togo,World,Capital goods,Export,Export(US$ Mil),             43.12,             48.64,            156.73,            106.82,             33.25,             33.94,             22.49,              8.53,              0.90,,              6.38,              5.73,            112.10,              6.92,              6.24,              3.40,             11.76,              9.43,              7.99,              5.58,              7.19,              1.21,,,,,,
Togo,World,Chemicals,Export,Export(US$ Mil),             68.92,             54.52,             80.44,             69.43,             91.82,             66.79,             63.85,             43.21,              2.09,,             16.30,              6.13,              5.49,              2.17,              4.42,              0.97,              2.09,              2.44,              2.95,              1.89,              3.47,              0.50,,,,,,
Togo,World,Consumer goods,Export,Export(US$ Mil),            282.37,            270.35,            321.00,            251.18,            217.82,            168.83,            155.21,            173.36,             38.48,,            102.46,             70.64,             72.57,             33.50,             22.70,             23.13,             69.53,             53.41,             60.76,            120.92,            111.66,              9.98,,,,,,
Togo,World,Food Products,Export,Export(US$ Mil),             51.12,             62.94,             71.48,             50.21,             74.63,             69.45,             66.02,             52.47,             22.72,,             39.36,             40.00,             33.59,             15.70,              8.83,             10.15,             21.81,             23.47,             31.23,             32.36,             20.30,             12.47,,,,,,
Togo,World,Footwear,Export,Export(US$ Mil),             23.45,             28.94,             25.83,             18.92,             12.43,              8.70,             10.99,              8.77,              1.08,,              5.42,              4.80,              5.33,              2.73,              2.43,              3.02,              4.14,              4.09,              5.41,              5.50,              2.86,              0.09,,,,,,
Togo,World,Fuels,Export,Export(US$ Mil),              9.69,             12.00,             59.72,             64.97,             44.21,             20.21,             18.36,             55.95,              0.01,,              4.49,              1.43,              2.89,              1.34,              0.90,              1.24,             13.30,             10.57,             11.56,             43.87,             71.56,              0.93,,,,,,
Togo,World,Hides and Skins,Export,Export(US$ Mil),              0.25,              0.15,              0.14,              0.07,              0.08,              0.03,              0.05,              0.05,              0.04,,              0.02,              0.00,              0.02,              0.01,              0.00,              0.03,              0.10,              0.12,              0.27,              0.33,              0.25,              0.26,,,,,,
Togo,World,Intermediate goods,Export,Export(US$ Mil),            162.75,            232.37,            410.90,            355.95,            376.07,            283.44,            264.32,            212.63,            169.80,,            159.14,            171.57,            192.00,            114.27,            121.37,             67.82,            112.90,            102.04,             76.35,             75.30,             66.58,             14.11,,,,,,
Togo,World,Mach and Elec,Export,Export(US$ Mil),             22.30,             30.19,             57.64,             23.63,             16.25,             17.77,             10.91,              4.54,              1.00,,              3.76,              1.40,             13.74,              2.66,              3.49,              1.59,              7.53,             10.62,              9.44,              8.42,              9.37,              0.86,,,,,,
Togo,World,Metals,Export,Export(US$ Mil),             27.33,             38.92,             92.66,             52.83,             61.15,             60.80,             71.21,             58.22,             41.44,,             37.57,             47.02,             34.04,             21.70,             22.82,             12.16,             12.52,              8.49,              7.40,              4.44,              6.18,              3.61,,,,,,
Togo,World,Minerals,Export,Export(US$ Mil),            152.08,            232.87,            321.19,            287.01,            281.69,            215.86,            247.31,            198.96,            154.01,,            134.49,            146.42,            159.54,            108.01,            109.71,             77.95,             97.39,            143.95,             90.76,             90.50,             74.17,             70.04,,,,,,
Togo,World,Miscellaneous,Export,Export(US$ Mil),              4.29,              5.44,              8.85,              3.44,              5.63,              1.87,              2.17,              1.34,              0.56,,              0.75,              0.92,              2.76,              1.40,              1.88,              1.99,              1.29,              1.00,              1.22,              1.07,              1.03,              0.36,,,,,,
Togo,World,Plastic or Rubber,Export,Export(US$ Mil),             89.75,             85.94,             73.31,             73.87,             66.31,             46.05,             45.56,             32.53,              3.86,,             34.46,             16.56,             12.04,              2.88,              1.99,              0.39,              2.84,              1.95,              2.93,              2.80,              2.28,              1.63,,,,,,
Togo,World,Raw materials,Export,Export(US$ Mil),            183.52,            252.39,            257.72,            246.81,            224.64,            161.68,            197.02,            167.55,             70.55,,             91.64,            141.50,            117.82,             95.88,             69.89,             97.64,            164.97,            226.51,            201.29,            204.41,            194.97,            136.36,,,,,,
Togo,World,Stone and Glass,Export,Export(US$ Mil),             27.19,             42.16,             44.13,             35.39,             33.77,             22.03,              6.00,              2.23,              0.08,,              0.31,              0.95,              2.68,              0.49,              0.08,              0.17,             32.58,             23.66,             24.51,             29.47,             37.67,              0.02,,,,,,
Togo,World,Textiles and Clothing,Export,Export(US$ Mil),             84.18,             89.85,             96.00,             94.14,             81.85,             54.71,             36.70,             51.80,             29.98,,             36.35,             64.74,             75.78,             43.29,             25.71,             44.84,            103.56,            108.72,            100.21,            118.59,            106.71,             53.85,,,,,,
Togo,World,Transportation,Export,Export(US$ Mil),             21.00,             15.35,             92.98,             79.73,             10.37,             14.93,              9.47,              4.76,              0.54,,              3.07,              3.72,             98.06,              3.28,              1.80,              5.97,             10.41,              6.46,              9.13,             13.05,             10.22,              0.72,,,,,,
Togo,World,Vegetable,Export,Export(US$ Mil),             45.83,             50.45,             81.47,             68.54,             33.28,             25.87,             28.35,             30.50,             16.37,,             28.82,             36.52,             30.43,             26.80,             22.64,             24.11,             43.55,             37.35,             36.53,             46.87,             30.87,             14.14,,,,,,
Togo,World,Wood,Export,Export(US$ Mil),             17.74,             21.99,             20.23,             21.75,             24.92,             15.94,             14.17,              9.22,              1.25,,              5.63,              2.07,              3.75,              2.09,              4.16,              2.72,              3.16,              3.02,              7.38,              3.51,              2.36,              1.15,,,,,,
Togo,World,All Products,Export,Exports (in US$ Mil),            671.93,            803.81,           1146.45,            960.88,            852.27,            648.28,            640.15,            562.77,            280.03,,            359.90,            389.64,            494.57,            250.60,            220.25,            191.99,            360.34,            393.42,            348.15,            409.62,            382.75,            161.73,,,,,,
Togo,World,Capital goods,Import,Import(US$ Mil),            367.91,            360.57,            339.35,            304.03,            413.01,            192.38,            246.25,            173.98,             85.70,,             72.79,             60.04,            111.99,             63.32,             40.64,             39.44,             54.11,            118.93,             57.28,             69.76,             71.94,             37.31,,,,,,
Togo,World,Consumer goods,Import,Import(US$ Mil),            751.54,            766.83,            840.02,            689.40,            642.80,            533.03,            485.76,            582.28,            462.38,,            334.07,            288.09,            245.03,            171.16,            154.23,            152.01,            388.91,            358.36,            358.88,            366.77,            303.89,             97.97,,,,,,
Togo,World,Intermediate goods,Import,Import(US$ Mil),            504.23,            504.58,            660.32,            558.89,            562.94,            378.87,            344.85,            321.17,            185.32,,            136.17,            150.78,            152.59,            113.99,            109.84,             98.14,            176.43,            157.76,            152.46,            162.03,            126.25,             55.60,,,,,,
Togo,World,Raw materials,Import,Import(US$ Mil),            100.50,            111.03,            121.16,            103.72,            126.61,             95.53,             83.58,             82.94,             47.68,,             44.48,             49.76,             54.35,             51.80,             48.19,             31.46,             41.60,             42.79,             53.53,             60.73,             47.99,             25.23,,,,,,
Togo,World,All Products,Import,Imports (in US$ Mil),           1732.13,           1753.25,           1967.34,           1661.99,           1755.91,           1204.78,           1171.23,           1171.66,            787.10,,            592.62,            557.83,            568.38,            405.33,            354.96,            323.93,            668.24,            686.90,            631.70,            667.38,            556.33,            221.34,,,,,,
Togo,...,...,Development,"GNI per capita, Atlas method (current US$)",    540.00,    550.00,    500.00,    480.00,    460.00,    450.00,    440.00,    400.00,    400.00,    380.00,    360.00,    330.00,    290.00,    250.00,    270.00,    300.00,    320.00,    330.00,    350.00,    310.00,    300.00,    300.00,    330.00,    410.00,    400.00,    400.00,    400.00,    390.00
Togo,...,...,Trade Indicator,HH Market concentration index,      0.10,      0.08,      0.10,      0.09,      0.05,      0.06,      0.08,      0.18,      0.12,,      0.07,      0.10,      0.14,      0.04,      0.07,      0.05,      0.04,      0.07,      0.05,      0.05,      0.06,      0.05,,,,,,
Togo,...,...,Trade Indicator,Index of export market penetration,      1.65,      1.66,      1.67,      1.72,      1.73,      1.65,      1.71,      1.74,      1.78,,      1.79,      1.69,      1.75,      1.63,      1.62,      1.59,      1.61,      1.64,      1.60,      1.63,      1.64,      1.74,,,,,,
Togo,...,...,Development,Trade (% of GDP),    109.81,    107.42,    125.03,    107.18,     95.76,     97.47,     89.09,     87.43,     92.41,     94.32,     98.70,     96.43,    102.48,     85.59,     82.29,     81.99,     67.89,     72.99,     73.78,     77.42,     69.85,     64.80,     56.48,     63.09,     74.98,     78.81,     88.51,     96.25
Togo,...,...,Development,Trade Balance (% of GDP),    -25.39,    -18.42,    -19.62,    -13.83,    -16.90,    -17.15,    -15.61,    -16.44,    -16.57,    -17.92,    -18.61,    -19.30,    -15.75,    -12.56,    -14.68,    -13.22,    -10.14,    -13.62,    -15.83,    -10.86,     -4.97,     -3.71,     -7.71,     -9.22,     -8.09,    -11.86,     -9.17,     -8.94
Togo,...,...,Development,Trade in services (% of GDP),,     20.41,     23.46,     23.27,     26.15,     22.82,     21.13,     20.30,     21.46,     21.10,     20.22,     20.10,     17.87,     16.15,     15.14,     13.86,     12.63,     14.19,     17.10,     21.67,     19.21,     19.97,     17.26,     19.64,     25.13,     24.14,     23.94,     22.14
Togo,Belgium,All Products,Import,Partner share(%)-Top 5 Import Partner,,      5.18,,      6.68,      4.27,      6.11,      3.88,,      3.75,,,      4.83,,      5.07,,      4.97,,,,,,,,,,,,
Togo,Benin,All Products,Export,Partner share(%)-Top 5 Export Partner,     14.86,     11.27,     10.46,     11.46,     12.98,,     13.87,     10.83,     10.89,,     11.56,     12.19,      9.34,     13.22,     16.87,      9.86,     16.58,     11.37,     10.53,     13.40,      6.47,,,,,,,
Togo,Benin,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,      6.00,,,,,,,,,,,
Togo,Bolivia,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,      7.62,,,,,,
Togo,Burkina Faso,All Products,Export,Partner share(%)-Top 5 Export Partner,     16.16,     10.15,     16.58,     16.88,     14.79,      4.92,     14.29,     15.84,      9.74,,     18.42,     13.05,     14.62,     12.99,     10.37,,,,,,,,,,,,,
Togo,Canada,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,      5.10,     11.79,      8.28,      7.72,      7.14,     16.96,,,,,,
