Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Togo,World,Food Products,Export,Export Product share(%),      7.61,      7.83,      6.23,      5.23,      8.76,     10.71,     10.31,      9.32,      8.11,,     10.94,     10.26,      6.79,      6.26,      4.01,      5.29,      6.05,      5.97,      8.97,      7.90,      5.30,      7.71,,,,,,
Togo,World,Footwear,Export,Export Product share(%),      3.49,      3.60,      2.25,      1.97,      1.46,      1.34,      1.72,      1.56,      0.39,,      1.51,      1.23,      1.08,      1.09,      1.10,      1.57,      1.15,      1.04,      1.55,      1.34,      0.75,      0.05,,,,,,
Togo,World,Fuels,Export,Export Product share(%),      1.44,      1.49,      5.21,      6.76,      5.19,      3.12,      2.87,      9.94,      0.00,,      1.25,      0.37,      0.58,      0.53,      0.41,      0.65,      3.69,      2.69,      3.32,     10.71,     18.70,      0.58,,,,,,
Togo,World,Hides and Skins,Export,Export Product share(%),      0.04,      0.02,      0.01,      0.01,      0.01,      0.01,      0.01,      0.01,      0.02,,      0.01,      0.00,      0.00,      0.00,      0.00,      0.01,      0.03,      0.03,      0.08,      0.08,      0.07,      0.16,,,,,,
Togo,World,Intermediate goods,Export,Export Product share(%),     24.22,     28.91,     35.84,     37.04,     44.13,     43.72,     41.29,     37.78,     60.64,,     44.22,     44.03,     38.82,     45.60,     55.11,     35.32,     31.33,     25.94,     21.93,     18.38,     17.40,      8.72,,,,,,
Togo,World,Mach and Elec,Export,Export Product share(%),      3.32,      3.76,      5.03,      2.46,      1.91,      2.74,      1.70,      0.81,      0.36,,      1.04,      0.36,      2.78,      1.06,      1.58,      0.83,      2.09,      2.70,      2.71,      2.06,      2.45,      0.53,,,,,,
Togo,World,Metals,Export,Export Product share(%),      4.07,      4.84,      8.08,      5.50,      7.18,      9.38,     11.12,     10.34,     14.80,,     10.44,     12.07,      6.88,      8.66,     10.36,      6.33,      3.47,      2.16,      2.13,      1.09,      1.62,      2.24,,,,,,
Togo,World,Minerals,Export,Export Product share(%),     22.63,     28.97,     28.02,     29.87,     33.05,     33.30,     38.63,     35.35,     55.00,,     37.37,     37.58,     32.26,     43.10,     49.81,     40.60,     27.03,     36.59,     26.07,     22.09,     19.38,     43.30,,,,,,
Togo,World,Miscellaneous,Export,Export Product share(%),      0.64,      0.68,      0.77,      0.36,      0.66,      0.29,      0.34,      0.24,      0.20,,      0.21,      0.24,      0.56,      0.56,      0.86,      1.03,      0.36,      0.25,      0.35,      0.26,      0.27,      0.22,,,,,,
Togo,World,Plastic or Rubber,Export,Export Product share(%),     13.36,     10.69,      6.39,      7.69,      7.78,      7.10,      7.12,      5.78,      1.38,,      9.57,      4.25,      2.43,      1.15,      0.90,      0.20,      0.79,      0.50,      0.84,      0.68,      0.60,      1.01,,,,,,
Togo,World,Raw materials,Export,Export Product share(%),     27.31,     31.40,     22.48,     25.69,     26.36,     24.94,     30.78,     29.77,     25.19,,     25.46,     36.32,     23.82,     38.26,     31.73,     50.86,     45.78,     57.57,     57.82,     49.90,     50.94,     84.31,,,,,,
Togo,World,Stone and Glass,Export,Export Product share(%),      4.05,      5.25,      3.85,      3.68,      3.96,      3.40,      0.94,      0.40,      0.03,,      0.09,      0.24,      0.54,      0.20,      0.04,      0.09,      9.04,      6.01,      7.04,      7.20,      9.84,      0.01,,,,,,
Togo,World,Textiles and Clothing,Export,Export Product share(%),     12.53,     11.18,      8.37,      9.80,      9.60,      8.44,      5.73,      9.20,     10.71,,     10.10,     16.62,     15.32,     17.28,     11.67,     23.36,     28.74,     27.63,     28.78,     28.95,     27.88,     33.29,,,,,,
Togo,World,Transportation,Export,Export Product share(%),      3.13,      1.91,      8.11,      8.30,      1.22,      2.30,      1.48,      0.85,      0.19,,      0.85,      0.95,     19.83,      1.31,      0.82,      3.11,      2.89,      1.64,      2.62,      3.18,      2.67,      0.45,,,,,,
Togo,World,Vegetable,Export,Export Product share(%),      6.82,      6.28,      7.11,      7.13,      3.91,      3.99,      4.43,      5.42,      5.85,,      8.01,      9.37,      6.15,     10.70,     10.28,     12.56,     12.09,      9.49,     10.49,     11.44,      8.07,      8.74,,,,,,
Togo,World,Wood,Export,Export Product share(%),      2.64,      2.74,      1.76,      2.26,      2.92,      2.46,      2.21,      1.64,      0.45,,      1.57,      0.53,      0.76,      0.83,      1.89,      1.42,      0.88,      0.77,      2.12,      0.86,      0.62,      0.71,,,,,,
Togo,World,Capital goods,Import,Import Product share(%),     21.24,     20.57,     17.25,     18.29,     23.52,     15.97,     21.03,     14.85,     10.89,,     12.28,     10.76,     19.70,     15.62,     11.45,     12.18,      8.10,     17.31,      9.07,     10.45,     12.93,     16.86,,,,,,
Togo,World,Consumer goods,Import,Import Product share(%),     43.39,     43.74,     42.70,     41.48,     36.61,     44.24,     41.47,     49.70,     58.74,,     56.37,     51.64,     43.11,     42.23,     43.45,     46.93,     58.20,     52.17,     56.81,     54.96,     54.62,     44.26,,,,,,
Togo,World,Intermediate goods,Import,Import Product share(%),     29.11,     28.78,     33.56,     33.63,     32.06,     31.45,     29.44,     27.41,     23.54,,     22.98,     27.03,     26.85,     28.12,     30.94,     30.30,     26.40,     22.97,     24.13,     24.28,     22.69,     25.12,,,,,,
Togo,World,Raw materials,Import,Import Product share(%),      5.80,      6.33,      6.16,      6.24,      7.21,      7.93,      7.14,      7.08,      6.06,,      7.51,      8.92,      9.56,     12.78,     13.58,      9.71,      6.23,      6.23,      8.47,      9.10,      8.63,     11.40,,,,,,
Togo,World,All Products,Tariff,Maximum Rate (%),     35.00,     20.00,     20.00,     20.00,     20.00,     20.00,     20.00,     20.00,     20.00,,     20.00,     20.00,     20.00,     21.00,     20.00,     20.00,     20.00,,     20.00,     20.00,,,,,,,,
Togo,World,All Products,Tariff,Simple Average (%),     12.94,     12.87,     12.88,     13.14,     13.66,     13.53,     13.84,     13.85,     13.85,,     14.61,     14.56,     14.07,     14.23,     14.27,     14.35,     15.46,,     15.56,     15.22,,,,,,,,
Togo,World,All Products,Tariff,Weighted Average (%),     11.41,      9.35,      9.36,      9.37,     11.06,     10.44,     10.51,     10.59,     10.59,,     10.40,     10.79,     10.13,     10.20,     10.91,     11.36,     14.99,,     14.58,     13.79,,,,,,,,
Togo,World,Capital goods,Tariff,Weighted Average (%),      8.46,      7.73,      7.74,      7.57,      9.48,      9.02,      7.69,      8.37,      8.37,,      9.02,      8.86,      7.24,      7.56,      8.57,      9.32,     12.26,,     14.76,     13.86,,,,,,,,
Togo,World,Consumer goods,Tariff,Weighted Average (%),     12.54,     11.13,     11.13,     11.19,     12.55,     11.39,     11.81,     11.35,     11.35,,     11.31,     12.32,     12.79,     12.88,     13.06,     13.22,     18.55,,     17.80,     17.13,,,,,,,,
Togo,World,Intermediate goods,Tariff,Weighted Average (%),     14.21,      8.42,      8.42,      8.29,     10.35,     10.46,     11.01,     10.65,     10.65,,      9.94,      9.99,      8.75,      9.03,     10.04,      9.86,      9.50,,      9.38,      8.32,,,,,,,,
Togo,World,Raw materials,Tariff,Weighted Average (%),     21.92,      6.98,      6.98,      8.29,      7.97,      7.43,      8.42,      9.19,      9.19,,      7.03,      6.76,      7.69,      7.29,      7.99,      9.57,      8.69,,      8.56,      8.82,,,,,,,,
Togo,World,All Products,Trade Indicator,World Growth (%),     -7.87,      0.13,      1.03,     -0.01,      9.18,     10.43,    -12.27,      7.47,      7.24,,      6.26,     10.47,      8.10,      2.06,     -1.85,      7.43,      2.52,     -0.47,      3.05,      3.55,     11.51,     15.29,,,,,,
