country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2.36652603,2.441470668,2.521021779,2.314937441,2.53669857,2.639905909,2.790762673,2.856315909,2.968070041,3.274029793,3.449364069,3.648298969,3.636202343,3.729145259,3.724958799,3.639849909,3.766217602,3.746657379,3.758927453,3.99443443,3.865042553,3.572365437,3.565892649,3.572537913,3.562338312,3.313792955,3.382008183,3.675484664,3.828091095,3.637484203,3.44959894,3.535751351,3.620639537,3.490030345,3.583325741,3.515586597,3.661563359,3.770570751,3.80967752,3.981141308,3.819693795,3.555285353,3.273067083,3.502902225,4.072843801,4.160611395,4.464492014,4.582394268,4.785169983,4.48356446,4.466338068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17441656,0.859449879,0.901473112,1.082990788,0.821831009,1.045668737,1.095600733,0.989444203,1.126427051,1.155322737,0.994206704,1.120167569,1.190051716,1.421960886,1.427325514,1.648352304,1.804106217,1.410814574,1.364888442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,2.868012877,7.234891369,10.02690945,10.63481139,29.61794884,29.83612306,25.23699343,24.4030149,22.97577795,22.18542634,21.80516599,21.74312968,19.21445326,19.02942041,24.73662638,24.21604611,23.83821726,23.27741935,22.80421892,22.50914228,22.13329958,22.62093228,21.68186039,21.52978401,21.59310807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,8.574057525,8.632111854,8.871958463,9.264776415,9.797168825,10.64775735,10.35686147,10.86881055,11.05564018,11.41858012,11.5965694,11.761816,11.89647069,12.69109603,12.58853754,12.6617602,12.38477924,13.19730487,14.04748104,14.10561127,15.0052502,15.45739017,15.49329031,14.67332429,15.19620007,15.25465833,14.93437026,15.68143786,15.7339212,16.47985298,16.80526217,16.25256229,16.79626842,17.04080191,16.95865899,16.9664942,17.97142596,18.00758857,18.51527047,17.1783559,17.19727773,16.7592018,17.39286776,17.46183995,17.34623728,17.7739756,17.89312837,17.85990598,18.01631327,18.03726854,16.75230078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,4.375966909,4.499617354,4.758554787,5.157335495,5.392745303,5.253795798,5.368048837,5.433417824,5.726655614,6.013441208,6.789261266,6.955570959,7.465386491,7.967406198,7.592675124,7.176575974,7.705231431,7.420290758,7.596517081,8.150411477,6.928431961,7.439421516,7.140653327,6.88872302,7.22362896,7.235239262,7.142606182,7.611914817,7.013105469,7.08932007,7.916028563,8.497443146,7.782808183,7.688675585,7.739535636,7.778174302,7.916498335,8.015418493,8.219538404,7.989368994,7.956563584,8.174472454,8.310385132,8.889629244,8.77880008,9.017237523,8.6494461,8.319711838,8.183160018,7.438353474,7.969244347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.746071397,6.527397132,5.563295212,4.311337741,4.016582306,3.766425751,3.97117158,3.55432571,3.637859001,3.512029921,3.576219661,3.654527368,3.783992486,3.998027302,4.500681609,4.695870874,5.109538292,4.701319259,4.976935132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,3.749455994,4.746102347,5.995540507,5.557300665,8.117129986,9.398151784,7.464640875,11.17131756,10.28508274,10.62523717,15.1977658,38.71746945,36.49163054,43.37612724,39.91730194,43.70025238,33.51392453,49.30065791,32.79496775,33.64240983,37.93763849,13.00948931,10.27455326,8.959657845,8.070210542,6.440619675,5.906826953,5.848914908,6.22451083,7.736290633,7.615983675,6.831643313,6.746663355,6.284917061,6.123846938,6.01556971,5.881101864,4.749022516,5.779425109,5.699779129,5.604998247,5.203256345,5.15585844,4.893601246,5.475436261,5.005876373,4.695545558,4.705128712,3.131921321,4.854818466,7.186250463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,3.557340749,10.59343578,9.236150611,6.746815676,8.791950123,6.591503847,3.402644521,5.149205666,5.523359591,6.197706345,12.23502833,13.84612114,16.12816076,23.15614674,21.55976539,21.69633429,23.29300194,24.76795586,24.13667712,23.85086124,22.03337272,22.91210888,25.63327558,20.87455983,22.74293591,24.44860716,25.55675475,25.61740432,26.31491643,24.55465015,24.11013118,22.70115226,20.3760147,28.43866893,27.97088241,28.6541852,27.16928097,29.20417458,30.10779779,28.74761673,29.20955469,21.67437083,24.44749015,25.44486405,26.06337581,26.49808846,24.02689968,24.1927208,23.09002916,20.66300837,19.17841873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,0.044181011,0.044480002,0.04754182,0.053151642,0.053090281,0.054049818,0.053261127,0.054676033,0.060727743,0.057307019,0.056907689,0.053188188,0.051254824,0.066063807,0.066990094,0.068988152,0.07729859,0.078625581,0.079102003,0.084853644,0.094731427,0.095688393,0.100971081,0.094161354,0.101556559,0.110893668,0.120874661,0.121746414,0.135362306,0.131016623,0.147563998,0.147900019,0.161003196,0.15451725,0.164851634,0.194183266,0.200349627,0.204801701,0.19267111,0.19835736,0.215033394,0.245964373,0.251023286,0.248178278,0.286703397,0.267095016,0.338118365,0.336644963,0.319161002,0.355868066,0.377610209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,0.746577944,0.839184595,1.119761423,0.816573589,0.766316209,0.872752415,1.134603864,1.426700445,1.856743778,2.021120074,1.798041015,2.018003594,2.081391093,1.97709533,2.010094109,2.313627469,2.156661515,2.388775587,2.547232174,2.423744093,2.711726341,2.745785879,2.573007082,2.720715931,2.953673137,3.329153876,3.587287176,3.672353814,3.672060896,3.82848392,4.139996891,4.63348838,3.74900435,4.256321159,2.848037405,3.145847886,3.21933214,3.40264365,4.287918498,4.535946438,4.440938877,4.552708507,4.569471467,4.709422681,4.794768356,5.001792956,5.059113167,5.251247463,6.008278835,5.955392606,5.500046952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
